,attractive,calm,capable,diligent,extroverted,friendly,happy,healthy,high-social-status,humble,intelligent,kind,masculine,powerful,responsible,successful,trustworthy,warm
Google_1_Naomi Alfaro_9_oval.jpg,7.333333333333333,7.428571428571429,6.642857142857143,7.2727272727272725,7.066666666666666,7.722222222222222,7.333333333333333,8.25,7.538461538461538,6.076923076923077,6.666666666666667,7.285714285714286,1.5454545454545454,6.176470588235294,6.333333333333333,6.666666666666667,7.714285714285714,6.833333333333333
Google_1_Della Livingston_11_oval.jpg,2.533333333333333,3.0714285714285716,5.105263157894737,5.85,4.117647058823529,4.0,3.9285714285714284,4.157894736842105,3.388888888888889,5.083333333333333,4.5,3.3,7.894736842105263,5.615384615384615,4.538461538461538,4.357142857142857,3.0,3.533333333333333
Google_1_Glenn Kutz_9_oval.jpg,5.083333333333333,7.176470588235294,6.636363636363637,6.9,5.714285714285714,6.235294117647059,6.9,6.375,7.222222222222222,5.181818181818182,6.833333333333333,6.363636363636363,6.333333333333333,7.0588235294117645,7.428571428571429,6.538461538461538,5.75,6.352941176470588
Google_1_Kristen Weidner_11_oval.jpg,6.230769230769231,6.5,5.214285714285714,5.647058823529412,7.5,7.333333333333333,7.076923076923077,6.714285714285714,5.066666666666666,5.916666666666667,4.388888888888889,8.0,2.3333333333333335,3.8333333333333335,5.1,5.583333333333333,6.3125,7.083333333333333
Google_1_Frank Beckner_3_oval.jpg,3.2857142857142856,7.6,6.8,4.71875,7.411764705882353,7.9,8.0,3.0,5.916666666666667,6.6875,6.0,6.769230769230769,7.666666666666667,5.076923076923077,6.181818181818182,6.333333333333333,6.0,7.75
Google_1_David Bourassa_1_oval.jpg,4.333333333333333,6.153846153846154,7.35,6.875,7.3076923076923075,6.923076923076923,8.0,6.3076923076923075,6.5,5.8,6.666666666666667,6.909090909090909,7.538461538461538,6.5,7.1,7.105263157894737,7.5,6.5625
Google_1_Jerry Eckman_17_oval.jpg,5.076923076923077,6.846153846153846,7.214285714285714,6.866666666666666,6.4,7.4,7.0,7.0,6.363636363636363,6.333333333333333,6.3076923076923075,6.916666666666667,3.473684210526316,5.454545454545454,7.333333333333333,6.583333333333333,6.615384615384615,6.6
Google_1_Tina Glaze_9_oval.jpg,5.6923076923076925,7.0,6.5,5.2,7.142857142857143,7.0,6.769230769230769,6.875,5.666666666666667,6.0,5.733333333333333,6.833333333333333,2.8,4.846153846153846,5.666666666666667,5.181818181818182,6.3,6.866666666666666
Google_1_Larry Blanco_1_oval.jpg,4.5,6.3076923076923075,7.615384615384615,7.733333333333333,5.916666666666667,6.083333333333333,5.857142857142857,5.894736842105263,7.916666666666667,5.1,7.454545454545454,5.846153846153846,7.071428571428571,7.5,6.923076923076923,7.384615384615385,5.368421052631579,6.142857142857143
Google_1_Jonathan Merchant_11_oval.jpg,5.538461538461538,5.909090909090909,7.0,6.5,4.8,4.7272727272727275,4.9,7.384615384615385,7.722222222222222,3.727272727272727,7.2727272727272725,5.4,6.956521739130435,6.785714285714286,5.615384615384615,7.7,3.857142857142857,5.0
Billy_Farrell_9_oval.jpg,5.2,6.470588235294118,6.846153846153846,6.75,6.666666666666667,6.0,6.75,6.642857142857143,5.9523809523809526,5.2727272727272725,6.714285714285714,6.142857142857143,6.923076923076923,6.666666666666667,5.230769230769231,6.25,5.9,6.333333333333333
Google_1_Kristin Hammons_1_oval.jpg,4.2631578947368425,3.6923076923076925,4.0,2.25,2.4615384615384617,2.2,2.2,2.5454545454545454,2.5714285714285716,4.6,3.1818181818181817,2.9166666666666665,3.7142857142857144,3.0,3.9166666666666665,3.5384615384615383,3.6666666666666665,1.9090909090909092
Google_1_Chris Avelar_5_oval.jpg,3.1666666666666665,3.3529411764705883,2.8666666666666667,3.076923076923077,2.0714285714285716,2.526315789473684,2.230769230769231,5.066666666666666,2.3,3.769230769230769,2.9166666666666665,3.4,5.3076923076923075,2.3636363636363638,2.727272727272727,2.5,2.1176470588235294,2.4285714285714284
Andrew_Jaggers_11_oval.jpg,5.714285714285714,6.7272727272727275,7.315789473684211,6.769230769230769,5.9523809523809526,6.75,7.0,6.380952380952381,6.142857142857143,5.538461538461538,6.72,6.916666666666667,7.6,7.0,6.666666666666667,7.428571428571429,6.235294117647059,7.0
Google_1_Rodney Barnum_19_oval.jpg,5.3076923076923075,6.3,5.733333333333333,6.0,4.538461538461538,5.769230769230769,5.0,6.125,5.333333333333333,5.444444444444445,4.8125,5.076923076923077,5.214285714285714,3.6153846153846154,5.1,5.739130434782608,4.25,5.2727272727272725
Google_1_Dawn Smtih_13_oval.jpg,3.6923076923076925,4.230769230769231,2.8,2.6842105263157894,2.7,2.3333333333333335,2.5454545454545454,3.2941176470588234,2.2142857142857144,2.6,3.2,3.05,4.076923076923077,4.0,2.3333333333333335,3.3076923076923075,2.7,1.5
Google_1_Sean Lane_3_oval.jpg,4.076923076923077,6.166666666666667,5.9411764705882355,6.125,4.875,5.230769230769231,5.7,4.538461538461538,5.35,5.285714285714286,5.545454545454546,5.615384615384615,6.583333333333333,5.9411764705882355,5.166666666666667,6.0,4.230769230769231,5.125
Google_1_Patty Corwin_1_oval.jpg,2.4,6.7,4.818181818181818,5.611111111111111,4.2,5.545454545454546,5.181818181818182,4.266666666666667,5.25,6.6,4.6923076923076925,5.846153846153846,4.0,4.65,5.1,4.7407407407407405,5.0,4.2
