,id,username,age,gender,hispanic,number,race,movie,country,friend,country_list
291,302,A3O4WYGKH31OX,40-49,Female,No,4,White,none,none,50+,
292,303,A2F7XU50KJPL9M,20-29,Female,No,4,Asian,1-10,11-30,50+,VIetnam
293,304,A1MFZX0C7EJ9EP,40-49,Female,No,4,White,1-10,none,11-50,
294,305,A1YGYTRRCKXOMH,30-39,Female,No,4,White,1-10,none,1-10,
295,306,A2XHJ7LBT57IEI,20-29,Female,No,4,White,none,none,1-10,
296,307,A1QLESV0SGHG8U,20-29,Female,No,4,White,1-10,none,11-50,
297,308,A1QEQ64E22TNUZ,50-59,Female,No,4,White,10+,none,11-50,
298,309,AQUOS2XZESNXB,60+,Female,No,4,White,1-10,none,1-10,
299,310,A237VAFTGMU5B,20-29,Male,No,4,White,1-10,none,11-50,None
300,311,A2G7XPM051Q1XB,40-49,Female,No,4,White,1-10,none,11-50,
301,312,A1WM9NDK30R4Z8,30-39,Female,No,4,White,1-10,none,1-10,
302,313,A3M0IF3MAVM66O,30-39,Female,No,4,Asian,10+,11-30,50+,INDIA
303,314,A1DOZA2HIRNCM6,20-29,Male,No,4,White,none,none,50+,
304,315,A2311L4YQ9PP81,60+,Male,No,4,White,1-10,none,1-10,
305,316,ADXRJFEHIDXRE,20-29,Male,No,4,White,1-10,none,11-50,
306,317,A2QMHQXR8K4VJ2,20-29,Female,No,4,Asian,1-10,1-10,1-10,
307,318,A2FQYY4OCF17XY,30-39,Male,No,4,White,1-10,none,11-50,
308,319,ADSGMZ4LJ0660,20-29,Male,No,4,White,none,none,11-50,
309,320,AEW1HTLYMOOD7,30-39,Female,No,4,White,1-10,none,11-50,
310,321,A25I110YXT1QRA,30-39,Male,Yes,4,White,1-10,1-10,11-50,Japan
311,322,A24YH95DSHXH9V,30-39,Male,No,4,White,1-10,none,1-10,
312,323,A1VT581V4RDGVH,30-39,Female,No,4,Asian,10+,30+,50+,"INDIA, DUBAI"
313,324,A192GF5OVDH757,40-49,Female,No,4,White,10+,none,1-10,none
314,325,A118RTS8BOFIH7,50-59,Female,No,4,Black,1-10,none,50+,
315,326,A1VFSNVFK883XU,20-29,Female,No,4,White,10+,none,50+,
316,327,A2JQHU5Z78LXYS,20-29,Female,No,4,Asian,1-10,30+,11-50,"Was born in China, was adopted around 1 years old."
